time,slope,tempratue,current,padel rotation,speed,throttle
32,5.76,30.41,0,0,0.61,229
33,5.5,30.46,0,0,0.61,226
34,5.28,30.51,0,0,0.31,621
35,4.77,30.46,0,0,4.62,777
36,2.67,30.46,0,0,11.67,751
44,0.45,30.55,0,0,5.84,665
45,-2.87,30.6,0,0,23.35,717
46,-2.6,30.55,0,0,19.06,721
47,-3.52,30.6,0,0,15.07,718
48,-2.17,30.65,0,0,13.53,718
49,-2.7,30.65,0,0,17.51,719
50,-2.56,30.55,0,0,20.29,719
51,-3.1,30.69,0,0,19.97,713
52,-1.49,30.69,0,0,15.37,487
53,-2.2,30.6,0,0,21.5,506
54,-2.15,30.79,0,0,21.83,229
55,-2,30.74,0,0,19.97,235
56,-2.08,30.65,0,0,18.76,233
57,-1.57,30.69,0,0,14.14,230
58,-0.6,30.65,0,0,15.36,618
59,0.38,30.79,0,0,24.32,752
60,1.56,30.79,0,0,25.5,823
61,0.51,30.84,0,0,26.75,839
62,0.96,30.79,0,0,27.95,847
63,1.01,30.74,0,0,29.52,831
64,1.36,30.79,0,0,31.95,820
65,2.28,30.79,0,0,32.9,816
66,2.61,30.88,0,0,33.18,814
67,3.5,30.88,0,0,33.52,817
68,3.72,30.93,0,0,34.44,818
69,4.19,30.88,0,0,34.75,817
70,4.52,30.93,0,0,34.71,816
71,4.28,30.93,0,0,35.05,229
72,4.74,30.98,0,0,34.75,228
73,5.17,30.93,0,0,31.64,227
74,5.67,30.88,0,0,29.83,703
75,5.54,30.93,0,0,28.88,704
76,5.29,30.88,0,0,27.67,706
77,4.5,30.98,0,0,26.14,784
78,4.03,30.98,0,0,24.91,831
79,4.14,31.02,0,0,23.65,832
80,3.58,31.12,0,0,23.06,830
81,3.05,31.07,0,0,22.42,830
82,3.07,31.07,0,0,22.14,829
83,2.43,31.02,0,0,21.81,822
84,2.93,31.12,0,1,21.52,821
85,3.26,31.07,0,1,21.2,890
86,3.69,31.12,0,1,20.93,964
87,3.7,31.07,0,2,20.58,966
88,4.54,31.12,0,3,21.22,963
89,4.42,31.17,0,5,20.91,963
90,4.73,31.17,0,6,20.89,967
91,5.53,31.17,0,7,21.22,241
92,5.46,31.17,0,8,21.2,439
93,5.41,31.17,0,9,20.91,519
94,5.15,31.21,0.24,10,20.89,539
95,5.43,31.17,1.21,11,21.22,522
96,5.49,31.21,1,12,21.22,522
97,6.13,31.21,0,13,21.22,716
98,5.98,31.17,0,14,21.2,232
99,5.67,31.21,0,14,20.91,300
100,5.79,31.17,0,14,19.66,304
101,5,31.31,0,14,19.06,271
102,5.6,31.31,0,14,17.51,271
103,4.61,31.26,0,14,14.14,272
104,3.2,31.31,0,14,11.98,273
105,1.01,31.45,0,14,22.75,707
106,1.09,31.35,0.74,14,21.52,717
107,0.7,31.4,0.5,14,15.36,726
108,0.45,31.4,0,14,1.23,724
113,1.57,31.45,0,14,1.54,694
114,1.45,31.35,0,14,17.22,693
115,1.27,31.45,0,14,15.97,226
116,3.77,31.4,0,14,15.07,221
117,3.48,31.4,0,14,13.21,667
118,3.08,31.35,0,14,11.68,651
119,3.32,31.45,0,14,3.07,228
123,3.38,31.59,0,14,1.54,245
124,2.96,31.54,0,14,0.61,226
135,-5.62,31.92,0,14,3.38,176
136,-6.99,31.92,0,14,3.99,975
137,-7.56,31.92,0,14,9.22,226
138,-6.95,31.97,0,14,3.38,225
139,-6.15,31.87,0,14,1.84,346
140,-5.43,32.01,0,14,3.07,252
141,-2.05,32.01,0,14,1.23,620
152,6.08,31.97,0.74,14,2.76,808
153,4.71,32.06,0,14,20.91,740
154,7.75,32.2,0,14,16.3,839
155,11.74,32.11,0,14,11.98,438
156,12,32.01,0,14,0,248
157,10.85,32.01,0,14,7.07,227
158,10.42,32.06,0,14,11.07,227
159,9.94,32.06,0,14,9.22,227
160,9.6,32.06,0,14,7.38,224
161,9.45,31.97,0,14,2.46,223
162,9.44,32.01,0,14,0.31,226
163,9.1,32.11,0,14,0.31,215
9,-5.89,31.97,0,2,0.31,540
10,-4.95,32.06,0,2,1.84,710
16,-5.16,32.11,0,7,6.46,681
17,-4.24,32.11,0,8,15.36,679
18,-3.59,32.11,0,8,15.99,673
19,-3.04,32.06,0,9,16.28,687
20,-3.02,32.11,0,10,16.6,678
21,-3.03,32.06,0,11,16.28,701
22,-3.04,32.15,0,12,16.3,699
23,-3.17,32.01,0,13,15.68,706
24,-3.62,32.15,0,13,15.36,700
25,-3.21,32.11,0,14,15.07,688
26,-3.47,32.11,0,15,15.36,707
27,-3.82,32.11,0,15,4.61,642
9,-5.6,32.06,0,0,23.06,224
10,-2.29,32.01,0,0,18.76,223
11,-1.34,32.01,0,0,12.29,223
12,-2.52,31.97,0,0,1.54,224
13,-2.34,32.01,0,0,0.61,224
15,-2.39,32.06,0,0,9.52,298
12,8.76,32.29,0,0,12.9,807
13,7.62,32.2,0,0,22.14,820
14,7.17,32.2,0.21,0,52.53,821
15,6.86,32.29,0,0,27.98,708
18,5.1,32.29,0,0,0.31,234
19,4.01,32.2,0,0,7.99,234
10,11.45,32.67,0,1,12.02,227
11,11.15,32.72,0,1,15.07,229
12,11.27,32.77,0.34,2,16.59,230
13,10.93,32.62,0.48,3,17.53,231
14,10.34,32.67,0.26,3,18.43,231
15,9.99,32.58,0,4,17.22,230
16,9.75,32.58,0.79,5,20.58,230
17,9.46,32.58,0.69,6,19.99,226
18,8.81,32.58,0.58,6,17.83,226
19,8.06,32.53,0.53,7,18.14,227
20,7.24,32.48,0,8,18.43,235
21,6.72,32.44,0,9,20.29,234
22,6.16,32.48,0,10,19.05,233
23,5.15,32.53,0.69,11,19.99,233
24,4.51,32.48,0.34,11,16.28,230
25,4.06,32.48,0.37,11,15.68,230
26,3.75,32.58,0.34,11,18.76,229
27,3.85,32.44,1,12,20.27,235
28,4.53,32.48,0,13,21.24,227
29,6.73,32.39,0.29,14,19.66,552
30,7.59,32.39,0.37,15,43.66,730
31,6.81,32.39,0,15,32.56,794
32,5.45,32.48,0,15,25.21,788
33,5.03,32.44,0.24,15,28.26,790
34,4.05,32.44,0.84,15,30.75,784
9,-1.1,32.39,0.24,0,38.13,750
10,40.01,32.34,0.29,0,28.9,787
11,37.21,32.34,0,0,31.98,765
12,34.22,32.48,0.29,0,32.87,771
13,31.15,32.34,0,0,38.74,759
14,29.73,32.34,0.34,0,30.72,760
15,29.05,32.39,0,0,31.98,754
16,26.43,32.39,0.26,0,42.43,810
9,-7.08,32.86,0.71,0,9.53,871
10,-6.41,32.91,0.79,0,15.97,972
11,6.44,33,0.74,0,13.24,1001
12,9.31,32.95,0.21,0,12.9,1017
13,9.1,33,1.48,0,42.13,996
14,6.96,32.95,0,0,21.81,1004
15,4.48,33,0,0,12.3,1003
16,4.8,33.05,1,1,12.59,1006
20,7.52,33.14,8.68,1,9.52,795
21,6.93,33.14,8.82,1,4.92,224
24,4.91,33.14,8.95,1,15.37,852
25,3.97,33.09,9.05,1,1.54,868
26,4.11,33.09,8.55,1,4.3,863
29,2.2,33,8.39,1,2.77,224
30,0.55,32.95,8.58,1,1.54,224
31,0.34,33.09,8.58,1,2.15,223
32,1.6,32.91,8.58,1,5.23,222
59,-5.17,33.28,8.58,3,13.53,865
60,-4.61,33.28,8.55,3,27.37,868
61,-3.66,33.09,8.58,3,28.88,994
62,-2.5,33.24,8.58,3,27.06,998
63,-1.5,33.05,8.58,3,26.42,985
64,-1.32,33.28,8.47,3,24.91,999
65,-1.08,33.14,8.58,3,23.65,1000
66,-1.03,33.24,8.5,3,23.06,1002
67,-1.19,33.19,8.5,4,23.96,1001
68,-1.12,33.24,8.45,6,22.45,1000
69,-1.18,33.14,8.53,7,23.65,999
70,-1.21,33.19,1.37,8,22.45,1004
71,-1.23,33.14,9,9,24.88,1000
72,-0.99,33.19,8.47,10,31.7,1000
73,-1.17,33.19,1.74,11,43.62,1001
74,-1.17,33.14,8.66,12,43.36,1000
75,-1.26,33.09,8.39,13,27.03,1014
76,-1.28,33.19,8.47,14,28.6,1000
77,-1.3,33.19,8.55,15,11.99,1001
78,-1.45,33.19,9.34,16,25.5,1001
79,-1.64,33.09,8.47,17,23.98,1000
80,-1.22,33.19,9.29,18,20.27,1004
81,-0.71,33.14,9.55,19,17.83,1001
82,-1.58,33.09,8.31,20,19.35,1002
83,-0.91,33.19,8.55,20,22.45,1001
84,0.74,33.05,8.45,20,28.88,999
85,1.13,33.05,8.47,21,22.14,1000
86,0.94,33.14,8.63,22,20.89,1003
87,0.96,33.19,8.18,23,20.29,1005
88,0.94,33.14,8.6,24,19.97,1000
89,1.01,33.14,0.53,25,19.68,1002
90,0.64,33.19,1.24,26,18.12,1001
91,0.56,33.19,0.95,27,18.45,1002
92,0.39,33.05,1.9,27,22.42,1002
93,0.38,33.05,1.08,28,14.76,1002
94,-0.16,33,1.29,29,15.07,1006
95,0.04,33.05,1.27,30,18.12,1002
96,0.07,33,0.9,31,18.45,999
97,0.18,32.91,1.06,32,17.2,999
98,-0.13,33,1.08,32,16.91,1001
99,-0.15,32.91,1.24,33,17.82,1001
100,-0.22,32.91,1.11,34,21.83,1001
101,-0.21,32.67,1.29,35,20.58,999
102,-0.41,32.81,1.37,36,14.76,255
103,-0.24,32.91,1.35,36,11.67,786
104,-0.65,32.86,8.5,36,12.61,1007
105,1.14,32.91,8.84,36,12.9,983
106,-0.42,32.86,8.16,36,17.22,1006
107,1.6,32.86,8.84,36,16.28,1002
108,2.4,32.91,9.11,36,17.53,1000
109,3.03,32.86,8.92,36,16.28,1000
110,3.91,32.86,8.34,36,16.6,992
111,3.59,32.77,9.03,36,13.52,226
306,-2.48,26.46,0.66,2,4.3,230
307,-1.89,26.46,0.66,2,5.84,227
308,-1.89,26.46,0.69,2,7.37,228
309,-1.95,26.65,0.69,2,9.22,226
310,-0.93,26.6,0.71,3,13.82,224
311,-0.99,26.65,0.71,3,9.85,227
312,-1.12,26.51,0.69,3,12.9,227
313,-1.39,26.55,0.69,3,3.07,226
9,-4.93,27.12,0.55,2,16.31,430
10,4.89,27.12,0.58,3,16.59,973
11,4.52,27.17,0.66,3,13.84,974
12,4.06,27.21,0.61,3,15.05,972
13,4.51,27.26,0.61,3,13.84,972
14,2.89,27.4,0.58,3,15.67,976
15,1.73,27.26,0.71,3,16.6,972
16,0.61,27.31,0.66,3,15.99,975
17,-0.32,27.45,1,3,24.91,973
18,-0.93,27.45,0.53,3,20.89,972
19,-0.96,27.49,0.53,3,39.36,981
20,-0.64,27.68,0.53,3,41.16,973
21,-0.4,27.54,0.45,3,31.36,974
22,-0.37,27.64,0.48,3,25.5,969
23,-0.54,27.68,0.45,3,31.67,970
24,-1.01,27.73,0.5,3,32.25,969
25,-0.43,27.68,0.53,3,26.44,1001
26,-0.78,27.78,0.42,3,23.68,969
27,-0.53,27.68,0.53,3,23.96,973
28,-0.23,27.78,0.53,3,24.93,967
29,-0.4,27.73,0.5,3,23.96,970
30,-0.28,27.78,0.58,3,24.29,959
31,0.09,27.78,0.61,3,26.11,969
32,0.79,27.78,0.61,3,25.83,971
33,2.18,27.92,0.61,3,35.02,493
34,1.88,28.01,0.58,3,30.44,1002
9,-5.21,28.29,0.45,0,24.57,979
10,2.13,28.29,0.48,0,29.24,279
11,1.92,28.34,0.5,0,25.83,288
12,0.9,28.44,0.48,0,22.42,315
13,0.45,28.44,0.48,0,15.68,286
14,0.01,28.44,0.5,0,4.61,335
60,0.47,29.94,0.66,22,52.02,843
61,0.6,30.04,0.66,23,31.95,839
62,-0.42,30.04,0.74,23,33.21,841
63,-0.74,30.04,0.71,23,30.13,807
64,-1.05,30.08,0.92,23,40.24,830
65,-1.42,29.99,0.9,23,41.51,814
66,-1.68,29.99,0.77,23,40.24,836
67,-2.35,30.08,0.82,23,29.83,840
68,-2.41,30.13,0.9,23,44.54,837
69,-2.43,30.08,0.77,23,63.65,834
224,-0.67,26.18,5.73,2,0.62,275
225,-0.55,26.27,5.7,2,0.31,274
226,-0.64,26.18,5.57,2,0.31,355
228,-0.45,26.18,5.49,2,0.92,312
229,-0.25,26.22,5.54,2,3.07,323
230,-0.19,26.18,5.62,2,3.69,316
231,-0.2,26.18,5.78,2,4.61,313
232,0.09,26.27,5.89,2,7.68,304
233,-0.06,26.22,5.7,3,7.39,298
234,-0.25,26.32,5.65,3,4.61,299
235,-0.45,26.27,5.75,3,2.46,326
236,-0.83,26.32,5.7,3,2.46,316
237,-1.05,26.37,5.73,3,2.46,324
238,-0.48,26.41,5.73,3,3.69,320
239,-0.48,26.37,5.75,3,5.84,316
240,-0.19,26.37,5.78,4,12.59,302
241,1.47,26.41,5.75,4,3.38,295
249,2.33,26.65,6.07,5,4.61,833
250,3.7,26.79,6.2,5,48.28,835
251,3.71,26.79,6.23,5,44.23,838
252,3.95,26.79,6.44,5,4.61,836
253,3.33,26.98,6.36,5,6.76,839
254,2.8,26.98,6.36,5,13.84,837
255,2.34,27.02,6.41,5,16.59,832
256,2.14,27.07,6.33,5,6.76,767
257,1.89,26.98,6.15,5,9.53,299
258,0.9,27.12,6.33,5,12.91,298
259,0.22,27.12,6.26,5,19.35,298
260,-0.6,27.12,6.33,5,19.06,296
261,-0.98,27.21,6.31,5,10.75,300
262,-1.14,27.21,6.33,5,11.68,305
263,-0.84,27.31,6.57,5,17.53,594
264,-1.15,27.31,6.68,5,19.35,605
265,-0.98,27.4,6.2,5,20.91,725
266,-1.89,27.4,6.84,5,22.42,731
267,-1.73,27.49,6.23,5,27.67,769
268,-1.87,27.54,6.26,5,30.41,878
269,-1.52,27.49,6.33,5,31.06,969
270,-1.71,27.59,6.31,5,32.25,792
271,-2.02,27.49,6.26,5,32.9,989
272,-2.1,27.64,6.31,5,33.18,991
273,-2,27.68,6.33,5,29.55,996
274,-1.75,27.73,6.31,5,29.8,991
275,-1.9,27.68,6.33,5,35.05,993
276,-1.86,27.78,6.33,5,35.63,745
277,-1.73,27.78,6.31,5,35.67,300
278,-1.29,27.82,6.33,5,34.4,764
279,-0.63,27.97,6.23,5,33.82,823
280,0.27,27.92,6.39,5,32.29,817
281,0.65,27.92,6.36,5,30.41,816
282,0.73,28.06,6.33,5,28.29,992
283,1.18,28.11,6.18,5,26.73,991
284,1.17,28.11,6.36,5,24.91,992
285,1.13,28.11,6.36,5,23.96,991
286,1.28,28.11,6.33,5,23.37,991
287,1.41,28.29,6.39,5,23.04,992
288,1.42,28.29,6.36,6,22.47,995
289,1.4,28.2,6.36,6,21.81,990
290,1.09,28.25,6.39,6,21.52,990
291,1.27,28.34,6.33,6,21.5,990
292,0.81,28.39,6.36,6,20.91,991
293,0.75,28.34,7.18,6,20.89,1007
