time,slope,tempratue,padel rotation,throttle,speed,current
313,-1.4,34.65,0,228,0,0
314,-1.4,34.65,0,230,1.84,0
315,-1.37,34.65,0,242,2.46,0
316,-1.33,34.69,0,486,1.54,0
317,-1.04,34.79,0,1012,52.89,0.98
350,-1.67,34.88,0,1023,2.15,0.26
351,-1.43,34.79,0,1013,1.84,0.63
352,-1.27,34.93,0,226,7.38,0.69
353,-0.85,34.88,0,325,6.76,0.32
354,-0.95,34.93,0,425,5.53,0.32
355,-0.97,34.88,0,237,5.53,0.34
356,-0.62,34.88,0,223,6.46,0.69
357,-0.5,34.88,1,221,7.99,0.92
358,-0.19,34.84,1,249,10.76,0.98
359,-0.14,34.93,1,275,7.07,0.82
360,-0.08,34.88,1,268,10.76,0.77
361,-0.35,34.84,1,942,15.05,0.71
362,-0.14,34.98,1,936,10.15,1.03
363,0.07,34.98,1,935,14.44,0.95
364,0.33,34.84,1,787,14.76,1
365,0.42,34.98,1,916,14.13,0.95
366,0.36,34.84,1,916,17.83,1.03
367,0.43,34.98,1,517,19.66,0.71
368,0.29,34.93,1,712,19.08,0.74
369,0.16,34.93,1,223,20.91,0.82
370,0.17,34.93,2,231,19.35,0.77
371,0.22,34.84,3,231,20.29,0.77
372,0.09,34.74,4,1023,20.27,0.77
373,0.33,34.84,4,1005,19.99,0.95
374,0.44,34.88,5,1015,23.65,0.92
375,0.46,34.88,5,1008,24.6,1
376,0.5,34.93,5,216,25.5,0.98
377,0.48,34.79,5,218,24.6,0.79
378,0.49,34.88,5,224,26.42,0.74
379,0.55,34.88,5,226,26.75,0.77
380,0.57,34.88,5,247,24.27,0.77
381,0.72,34.74,5,231,24.29,0.82
382,0.71,34.84,5,228,24.88,0.79
383,0.61,34.84,5,236,25.24,0.79
384,0.55,34.88,5,220,23.68,0.79
385,0.42,34.84,5,220,24.57,0.74
386,0.42,34.84,5,224,23.98,0.77
387,0.1,34.84,5,226,23.04,0.77
388,-0.09,34.84,5,234,21.22,0.77
389,-0.32,34.93,5,236,23.35,0.77
390,-0.35,34.88,5,238,22.75,0.79
391,-0.47,34.88,5,259,22.42,0.77
392,-0.49,34.79,5,230,21.52,0.79
393,-0.49,34.79,5,251,21.5,0.79
394,-0.63,34.84,5,268,23.37,0.79
395,-0.78,34.88,5,252,23.04,0.79
396,-0.94,34.84,5,212,21.52,0.82
397,-0.93,34.98,5,225,20.58,0.82
398,-0.91,34.84,5,215,20.31,0.82
399,-0.84,34.84,5,220,19.35,0.82
400,-0.87,34.84,5,232,18.14,0.82
401,-0.67,34.93,5,227,19.68,0.82
402,-0.66,34.93,5,223,21.2,0.79
403,-0.61,34.93,5,219,19.99,0.79
404,-0.73,34.98,5,221,19.66,0.79
405,-0.69,34.84,5,229,20.29,0.87
406,-0.79,35.02,5,212,21.2,0.84
407,-0.99,34.84,5,212,18.45,0.87
408,-1.03,34.98,5,213,19.35,0.87
409,-1.03,34.88,5,217,19.68,0.87
410,-0.96,34.93,5,232,21.81,0.9
411,-1.12,34.93,5,251,21.22,0.9
412,-0.67,34.93,5,229,18.74,0.92
413,-1.25,35.12,5,230,20.6,0.92
414,-1.19,34.88,5,225,20.89,0.92
415,-1.29,35.02,5,242,19.37,0.92
416,-1.29,35.02,5,1023,21.2,0.95
417,-1.27,35.02,5,1023,19.99,0.71
418,-1.36,34.88,5,1023,26.73,0.87
419,-1.48,35.02,5,1000,14.76,0.71
420,-1.13,34.98,5,1015,24.01,0.74
422,-0.98,35.02,5,230,27.34,0.42
423,-1.02,34.98,5,232,26.75,0.42
81,4.16,32.91,14,21,0.61,1.48
82,3.8,32.91,15,24,0,1.5
83,4.74,32.95,16,21,0.61,1.48
84,4.65,33.09,16,33,22.45,2.01
85,4,33,17,24,19.05,1.56
