time,slope,tempratue,current,padel rotation,throttle,speed
313,-1.4,34.65,0,0,228,0
314,-1.4,34.65,0,0,230,1.84
315,-1.37,34.65,0,0,242,2.46
316,-1.33,34.69,0,0,486,1.54
317,-1.04,34.79,0.98,0,1012,52.89
350,-1.67,34.88,0.26,0,1023,2.15
351,-1.43,34.79,0.63,0,1013,1.84
352,-1.27,34.93,0.69,0,226,7.38
353,-0.85,34.88,0.32,0,325,6.76
354,-0.95,34.93,0.32,0,425,5.53
355,-0.97,34.88,0.34,0,237,5.53
356,-0.62,34.88,0.69,0,223,6.46
357,-0.5,34.88,0.92,1,221,7.99
358,-0.19,34.84,0.98,1,249,10.76
359,-0.14,34.93,0.82,1,275,7.07
360,-0.08,34.88,0.77,1,268,10.76
361,-0.35,34.84,0.71,1,942,15.05
362,-0.14,34.98,1.03,1,936,10.15
363,0.07,34.98,0.95,1,935,14.44
364,0.33,34.84,1,1,787,14.76
365,0.42,34.98,0.95,1,916,14.13
366,0.36,34.84,1.03,1,916,17.83
367,0.43,34.98,0.71,1,517,19.66
368,0.29,34.93,0.74,1,712,19.08
369,0.16,34.93,0.82,1,223,20.91
370,0.17,34.93,0.77,2,231,19.35
371,0.22,34.84,0.77,3,231,20.29
372,0.09,34.74,0.77,4,1023,20.27
373,0.33,34.84,0.95,4,1005,19.99
374,0.44,34.88,0.92,5,1015,23.65
375,0.46,34.88,1,5,1008,24.6
376,0.5,34.93,0.98,5,216,25.5
377,0.48,34.79,0.79,5,218,24.6
378,0.49,34.88,0.74,5,224,26.42
379,0.55,34.88,0.77,5,226,26.75
380,0.57,34.88,0.77,5,247,24.27
381,0.72,34.74,0.82,5,231,24.29
382,0.71,34.84,0.79,5,228,24.88
383,0.61,34.84,0.79,5,236,25.24
384,0.55,34.88,0.79,5,220,23.68
385,0.42,34.84,0.74,5,220,24.57
386,0.42,34.84,0.77,5,224,23.98
387,0.1,34.84,0.77,5,226,23.04
388,-0.09,34.84,0.77,5,234,21.22
389,-0.32,34.93,0.77,5,236,23.35
390,-0.35,34.88,0.79,5,238,22.75
391,-0.47,34.88,0.77,5,259,22.42
392,-0.49,34.79,0.79,5,230,21.52
393,-0.49,34.79,0.79,5,251,21.5
394,-0.63,34.84,0.79,5,268,23.37
395,-0.78,34.88,0.79,5,252,23.04
396,-0.94,34.84,0.82,5,212,21.52
397,-0.93,34.98,0.82,5,225,20.58
398,-0.91,34.84,0.82,5,215,20.31
399,-0.84,34.84,0.82,5,220,19.35
400,-0.87,34.84,0.82,5,232,18.14
401,-0.67,34.93,0.82,5,227,19.68
402,-0.66,34.93,0.79,5,223,21.2
403,-0.61,34.93,0.79,5,219,19.99
404,-0.73,34.98,0.79,5,221,19.66
405,-0.69,34.84,0.87,5,229,20.29
406,-0.79,35.02,0.84,5,212,21.2
407,-0.99,34.84,0.87,5,212,18.45
408,-1.03,34.98,0.87,5,213,19.35
409,-1.03,34.88,0.87,5,217,19.68
410,-0.96,34.93,0.9,5,232,21.81
411,-1.12,34.93,0.9,5,251,21.22
412,-0.67,34.93,0.92,5,229,18.74
413,-1.25,35.12,0.92,5,230,20.6
414,-1.19,34.88,0.92,5,225,20.89
415,-1.29,35.02,0.92,5,242,19.37
416,-1.29,35.02,0.95,5,1023,21.2
417,-1.27,35.02,0.71,5,1023,19.99
418,-1.36,34.88,0.87,5,1023,26.73
419,-1.48,35.02,0.71,5,1000,14.76
420,-1.13,34.98,0.74,5,1015,24.01
422,-0.98,35.02,0.42,5,230,27.34
423,-1.02,34.98,0.42,5,232,26.75
81,4.16,32.91,1.48,14,21,0.61
82,3.8,32.91,1.5,15,24,0
83,4.74,32.95,1.48,16,21,0.61
84,4.65,33.09,2.01,16,33,22.45
85,4,33,1.56,17,24,19.05
86,4.45,33,1.85,18,24,18.78
87,3.5,33,2.06,19,23,18.43
88,3.17,33,1.85,19,24,26.75
89,3.27,33.19,1.82,20,26,29.49
90,4.18,33.14,1.58,21,25,33.82
91,4.34,33.14,1.64,21,24,34.4
92,3.73,33.09,1.53,22,25,30.75
93,3.77,33.19,1.58,23,25,13.21
99,9.14,33.24,1.72,27,943,14.45
100,9.15,33.33,2.09,27,276,46.74
101,9.25,33.28,1.72,28,806,16.91
102,8.81,33.28,1.72,28,274,21.2
103,8.13,33.24,1.58,28,275,26.75
104,7.84,33.33,1.66,28,283,7.68
105,7.31,33.28,1.5,28,738,15.99
107,5.49,33.28,1.66,28,851,5.84
108,5.19,33.38,1.64,28,846,13.82
109,6.31,33.33,1.74,28,549,18.45
110,6.56,33.33,1.79,28,956,15.67
111,6.63,33.24,1.56,28,953,15.99
112,6.72,33.38,1.66,28,953,16.28
113,6.11,33.38,1.82,28,954,18.45
114,5.56,33.19,1.69,28,963,19.06
115,6,33.42,1.72,28,959,20.29
116,5.78,33.33,1.82,28,954,20.6
117,5.47,33.33,1.79,28,953,23.65
118,5.11,33.28,1.82,28,952,20.91
119,4.72,33.28,1.85,28,955,19.97
120,4.48,33.33,1.72,28,949,21.22
121,4.32,33.42,1.85,28,949,23.04
122,4.09,33.24,1.9,28,956,23.37
123,3.99,33.42,1.85,28,947,23.04
124,3.69,33.33,1.93,28,948,23.68
125,3.82,33.33,2.01,28,955,22.73
126,3.44,33.28,2.09,28,948,23.06
127,3,33.38,2.01,28,951,23.35
128,2.72,33.33,1.93,28,948,23.98
129,2.81,33.28,2.09,28,949,23.96
130,2.53,33.42,2.19,28,948,24.29
131,2.36,33.38,2.16,28,947,24.6
132,2,33.33,2.19,28,954,25.8
133,1.6,33.38,1.93,28,950,24.6
134,1.36,33.33,1.95,28,950,24.88
135,1.94,33.33,2.11,28,949,26.16
136,1.45,33.33,2.11,28,949,25.8
137,1.01,33.33,2.06,28,949,25.52
138,0.89,33.28,2.03,28,948,25.8
140,0.7,33.38,2.19,28,947,24.29
141,0.78,33.33,2.56,28,948,24.27
142,0.85,33.28,2.56,28,950,28.29
143,0.18,33.24,2.53,28,946,27.65
144,0.24,33.28,2.51,28,947,24.91
145,0.44,33.28,2.24,28,947,26.11
146,0.15,33.42,2.24,28,949,25.52
147,0.91,33.33,2.32,28,947,27.34
148,0.22,33.38,2.51,28,964,27.06
149,-0.16,33.38,2.45,28,946,14.14
150,-0.17,33.33,2.59,28,946,0
151,-0.35,33.28,2.51,28,351,2.77
152,-0.44,33.33,2.69,28,436,24.88
153,-0.47,33.28,2.48,28,378,23.06
154,0.06,33.28,2.56,28,393,19.97
155,0.78,33.28,2.53,28,216,18.47
156,1.68,33.33,2.69,28,237,17.82
157,2.51,33.33,1.69,28,215,18.45
158,3.88,33.33,1.11,28,219,18.12
159,5.24,33.28,1.16,28,219,19.99
160,5.19,33.24,1.35,28,229,20.58
161,4.75,33.38,1.43,28,228,21.83
162,5.36,33.24,1.56,28,275,22.42
163,5.71,33.28,1.58,28,250,21.83
164,5.58,33.28,1.56,28,250,22.12
165,5,33.33,1.61,28,255,21.22
94,5.15,31.21,0.24,10,539,20.89
95,5.43,31.17,1.21,11,522,21.22
96,5.49,31.21,1,12,522,21.22
23,5.15,32.53,0.69,11,233,19.99
24,4.51,32.48,0.34,11,230,16.28
25,4.06,32.48,0.37,11,230,15.68
26,3.75,32.58,0.34,11,229,18.76
27,3.85,32.44,1,12,235,20.27
9,-1.1,32.39,0.24,0,750,38.13
16,4.8,33.05,1,1,1006,12.59
24,4.91,33.14,8.95,1,852,15.37
25,3.97,33.09,9.05,1,868,1.54
26,4.11,33.09,8.55,1,863,4.3
29,2.2,33,8.39,1,224,2.77
30,0.55,32.95,8.58,1,224,1.54
31,0.34,33.09,8.58,1,223,2.15
32,1.6,32.91,8.58,1,222,5.23
59,-5.17,33.28,8.58,3,865,13.53
60,-4.61,33.28,8.55,3,868,27.37
61,-3.66,33.09,8.58,3,994,28.88
62,-2.5,33.24,8.58,3,998,27.06
63,-1.5,33.05,8.58,3,985,26.42
64,-1.32,33.28,8.47,3,999,24.91
65,-1.08,33.14,8.58,3,1000,23.65
66,-1.03,33.24,8.5,3,1002,23.06
67,-1.19,33.19,8.5,4,1001,23.96
68,-1.12,33.24,8.45,6,1000,22.45
69,-1.18,33.14,8.53,7,999,23.65
70,-1.21,33.19,1.37,8,1004,22.45
71,-1.23,33.14,9,9,1000,24.88
72,-0.99,33.19,8.47,10,1000,31.7
73,-1.17,33.19,1.74,11,1001,43.62
74,-1.17,33.14,8.66,12,1000,43.36
75,-1.26,33.09,8.39,13,1014,27.03
306,-2.48,26.46,0.66,2,230,4.3
307,-1.89,26.46,0.66,2,227,5.84
308,-1.89,26.46,0.69,2,228,7.37
309,-1.95,26.65,0.69,2,226,9.22
310,-0.93,26.6,0.71,3,224,13.82
311,-0.99,26.65,0.71,3,227,9.85
312,-1.12,26.51,0.69,3,227,12.9
313,-1.39,26.55,0.69,3,226,3.07
9,-4.93,27.12,0.55,2,430,16.31
10,4.89,27.12,0.58,3,973,16.59
11,4.52,27.17,0.66,3,974,13.84
12,4.06,27.21,0.61,3,972,15.05
13,4.51,27.26,0.61,3,972,13.84
14,2.89,27.4,0.58,3,976,15.67
15,1.73,27.26,0.71,3,972,16.6
16,0.61,27.31,0.66,3,975,15.99
17,-0.32,27.45,1,3,973,24.91
18,-0.93,27.45,0.53,3,972,20.89
19,-0.96,27.49,0.53,3,981,39.36
20,-0.64,27.68,0.53,3,973,41.16
21,-0.4,27.54,0.45,3,974,31.36
22,-0.37,27.64,0.48,3,969,25.5
23,-0.54,27.68,0.45,3,970,31.67
24,-1.01,27.73,0.5,3,969,32.25
25,-0.43,27.68,0.53,3,1001,26.44
26,-0.78,27.78,0.42,3,969,23.68
27,-0.53,27.68,0.53,3,973,23.96
28,-0.23,27.78,0.53,3,967,24.93
29,-0.4,27.73,0.5,3,970,23.96
30,-0.28,27.78,0.58,3,959,24.29
31,0.09,27.78,0.61,3,969,26.11
32,0.79,27.78,0.61,3,971,25.83
33,2.18,27.92,0.61,3,493,35.02
34,1.88,28.01,0.58,3,1002,30.44
9,-5.21,28.29,0.45,0,979,24.57
10,2.13,28.29,0.48,0,279,29.24
11,1.92,28.34,0.5,0,288,25.83
12,0.9,28.44,0.48,0,315,22.42
13,0.45,28.44,0.48,0,286,15.68
14,0.01,28.44,0.5,0,335,4.61
224,-0.67,26.18,5.73,2,275,0.62
225,-0.55,26.27,5.7,2,274,0.31
226,-0.64,26.18,5.57,2,355,0.31
228,-0.45,26.18,5.49,2,312,0.92
229,-0.25,26.22,5.54,2,323,3.07
230,-0.19,26.18,5.62,2,316,3.69
231,-0.2,26.18,5.78,2,313,4.61
232,0.09,26.27,5.89,2,304,7.68
233,-0.06,26.22,5.7,3,298,7.39
234,-0.25,26.32,5.65,3,299,4.61
235,-0.45,26.27,5.75,3,326,2.46
236,-0.83,26.32,5.7,3,316,2.46
237,-1.05,26.37,5.73,3,324,2.46
238,-0.48,26.41,5.73,3,320,3.69
239,-0.48,26.37,5.75,3,316,5.84
240,-0.19,26.37,5.78,4,302,12.59
241,1.47,26.41,5.75,4,295,3.38
249,2.33,26.65,6.07,5,833,4.61
251,3.71,26.79,6.23,5,838,44.23
252,3.95,26.79,6.44,5,836,4.61
253,3.33,26.98,6.36,5,839,6.76
254,2.8,26.98,6.36,5,837,13.84
255,2.34,27.02,6.41,5,832,16.59
256,2.14,27.07,6.33,5,767,6.76
257,1.89,26.98,6.15,5,299,9.53
258,0.9,27.12,6.33,5,298,12.91
259,0.22,27.12,6.26,5,298,19.35
260,-0.6,27.12,6.33,5,296,19.06
261,-0.98,27.21,6.31,5,300,10.75
262,-1.14,27.21,6.33,5,305,11.68
263,-0.84,27.31,6.57,5,594,17.53
264,-1.15,27.31,6.68,5,605,19.35
265,-0.98,27.4,6.2,5,725,20.91
266,-1.89,27.4,6.84,5,731,22.42
267,-1.73,27.49,6.23,5,769,27.67
268,-1.87,27.54,6.26,5,878,30.41
269,-1.52,27.49,6.33,5,969,31.06
270,-1.71,27.59,6.31,5,792,32.25
271,-2.02,27.49,6.26,5,989,32.9
272,-2.1,27.64,6.31,5,991,33.18
273,-2,27.68,6.33,5,996,29.55
274,-1.75,27.73,6.31,5,991,29.8
275,-1.9,27.68,6.33,5,993,35.05
276,-1.86,27.78,6.33,5,745,35.63
277,-1.73,27.78,6.31,5,300,35.67
278,-1.29,27.82,6.33,5,764,34.4
279,-0.63,27.97,6.23,5,823,33.82
280,0.27,27.92,6.39,5,817,32.29
281,0.65,27.92,6.36,5,816,30.41
282,0.73,28.06,6.33,5,992,28.29
283,1.18,28.11,6.18,5,991,26.73
284,1.17,28.11,6.36,5,992,24.91
285,1.13,28.11,6.36,5,991,23.96
286,1.28,28.11,6.33,5,991,23.37
287,1.41,28.29,6.39,5,992,23.04
288,1.42,28.29,6.36,6,995,22.47
289,1.4,28.2,6.36,6,990,21.81
290,1.09,28.25,6.39,6,990,21.52
291,1.27,28.34,6.33,6,990,21.5
292,0.81,28.39,6.36,6,991,20.91
293,0.75,28.34,7.18,6,1007,20.89
294,0.52,28.44,7.15,6,1003,21.22
295,0.73,28.44,7.15,6,988,21.2
296,0.09,28.39,7.18,6,987,21.52
297,0.73,28.53,7.19,6,1011,21.52
298,0.58,28.58,6.33,6,993,21.5
299,0.19,28.48,6.33,6,995,21.83
300,0.39,28.62,6.33,6,995,21.81
301,-0.13,28.58,6.33,6,997,22.47
302,0.05,28.58,6.33,6,995,22.73
303,-0.23,28.72,6.33,6,996,23.06
304,-0.23,28.53,6.33,6,996,23.04
305,-1.01,28.67,6.33,6,995,24.29
306,-1.13,28.62,6.33,6,996,24.57
307,-0.54,28.72,6.34,6,996,25.21
308,-0.83,28.77,6.36,6,286,25.8
309,-0.71,28.67,6.36,6,287,25.52
310,-1.63,28.67,6.36,6,287,23.65
311,-2.08,28.72,6.36,6,297,20.29
312,-1.36,28.81,6.36,6,292,17.2
313,-1.94,28.72,6.31,6,296,15.68
314,-1.35,28.81,6.28,6,290,15.37
315,-2.03,28.81,6.31,6,291,14.13
316,-2.04,28.86,6.07,6,290,11.99
317,-1.14,28.86,6.26,6,708,10.14
318,-0.6,28.81,6.02,6,845,15.07
320,5.22,29,4.12,6,826,35.4
364,-1.73,29.8,5.96,7,988,0.31
365,-1.15,29.75,5.62,7,990,1.84
224,-0.67,26.18,5.73,2,275,0.62
225,-0.55,26.27,5.7,2,274,0.31
226,-0.64,26.18,5.57,2,355,0.31
228,-0.45,26.18,5.49,2,312,0.92
229,-0.25,26.22,5.54,2,323,3.07
230,-0.19,26.18,5.62,2,316,3.69
231,-0.2,26.18,5.78,2,313,4.61
232,0.09,26.27,5.89,2,304,7.68
233,-0.06,26.22,5.7,3,298,7.39
234,-0.25,26.32,5.65,3,299,4.61
235,-0.45,26.27,5.75,3,326,2.46
236,-0.83,26.32,5.7,3,316,2.46
237,-1.05,26.37,5.73,3,324,2.46
238,-0.48,26.41,5.73,3,320,3.69
239,-0.48,26.37,5.75,3,316,5.84
240,-0.19,26.37,5.78,4,302,12.59
241,1.47,26.41,5.75,4,295,3.38
249,2.33,26.65,6.07,5,833,4.61
251,3.71,26.79,6.23,5,838,44.23
252,3.95,26.79,6.44,5,836,4.61
253,3.33,26.98,6.36,5,839,6.76
254,2.8,26.98,6.36,5,837,13.84
255,2.34,27.02,6.41,5,832,16.59
256,2.14,27.07,6.33,5,767,6.76
257,1.89,26.98,6.15,5,299,9.53
258,0.9,27.12,6.33,5,298,12.91
259,0.22,27.12,6.26,5,298,19.35
260,-0.6,27.12,6.33,5,296,19.06
261,-0.98,27.21,6.31,5,300,10.75
262,-1.14,27.21,6.33,5,305,11.68
263,-0.84,27.31,6.57,5,594,17.53
264,-1.15,27.31,6.68,5,605,19.35
265,-0.98,27.4,6.2,5,725,20.91
266,-1.89,27.4,6.84,5,731,22.42
267,-1.73,27.49,6.23,5,769,27.67
268,-1.87,27.54,6.26,5,878,30.41
269,-1.52,27.49,6.33,5,969,31.06
270,-1.71,27.59,6.31,5,792,32.25
271,-2.02,27.49,6.26,5,989,32.9
272,-2.1,27.64,6.31,5,991,33.18
273,-2,27.68,6.33,5,996,29.55
274,-1.75,27.73,6.31,5,991,29.8
275,-1.9,27.68,6.33,5,993,35.05
276,-1.86,27.78,6.33,5,745,35.63
277,-1.73,27.78,6.31,5,300,35.67
278,-1.29,27.82,6.33,5,764,34.4
279,-0.63,27.97,6.23,5,823,33.82
280,0.27,27.92,6.39,5,817,32.29
281,0.65,27.92,6.36,5,816,30.41
282,0.73,28.06,6.33,5,992,28.29
283,1.18,28.11,6.18,5,991,26.73
284,1.17,28.11,6.36,5,992,24.91
285,1.13,28.11,6.36,5,991,23.96
286,1.28,28.11,6.33,5,991,23.37
287,1.41,28.29,6.39,5,992,23.04
288,1.42,28.29,6.36,6,995,22.47
289,1.4,28.2,6.36,6,990,21.81
290,1.09,28.25,6.39,6,990,21.52
291,1.27,28.34,6.33,6,990,21.5
292,0.81,28.39,6.36,6,991,20.91
293,0.75,28.34,7.18,6,1007,20.89
294,0.52,28.44,7.15,6,1003,21.22
295,0.73,28.44,7.15,6,988,21.2
298,0.58,28.58,6.33,6,993,21.5
311,-2.08,28.72,6.36,6,297,20.29
312,-1.36,28.81,6.36,6,292,17.2
313,-1.94,28.72,6.31,6,296,15.68
314,-1.35,28.81,6.28,6,290,15.37
315,-2.03,28.81,6.31,6,291,14.13
316,-2.04,28.86,6.07,6,290,11.99
317,-1.14,28.86,6.26,6,708,10.14
318,-0.6,28.81,6.02,6,845,15.07
320,5.22,29,4.12,6,826,35.4
